city,companyFullName,companyId,createTime,positionId,positionName,salary,positiondesc,workyear
北京,北京三快在线科技有限公司,50702,今天 10:25,2714580,资深数据挖掘工程师/专家,25k-50k,"['职位描述', '1. 骑手轨迹、骑手定位数据分析和建模', '2. 骑手画像、评级、留存等分析和建模', '3. 订单盈亏分析、配送效率分析和建模', '职位要求', '1. 2年以上工作经验，数学、统计、信息工程、经济学硕士', '2. 精通(R/Python）分析工具，精通（Hql/Sql)，熟悉hadoop、hive、Spark等', '3. 优秀的逻辑思维能力和业务需求分析能力，较好的沟通交流能力，善于主动思考和行动', '4. 有轨迹、定位、地图相关经验者优先', '5. 有商业变现、定价相关经验值优先', '关于美团外卖', '美团外卖是美团旗下的在线外卖平台，于2013年底正式上线。美团外卖提供的优质平台服务吸引了全国范围内的大量商户入驻。', '截至2016年12月，美团外卖日订单量超过900万单，覆盖城市超过1000个，是国内最大的外卖O2O平台。', '同时，美团外卖配送团队——美团专送日订单量已突破450万单，代表外卖配送领域的最高水平。', '美团外卖以消费者的需求为基础，在保证餐饮外卖优势的基础上，积极进行品类扩张，目前已上线商超、水果、鲜花蛋糕和甜点饮品等多品类的外卖配送服务。', '美团外卖一直秉承“消费者第一”的价值观，致力于与优质商家合作，为消费者提供品类丰富的外卖配送服务。', '工作地址']",3-5年
北京,网易（杭州）有限公司,329,2018-06-05,4110363,用户增长实习生-数据挖掘方向,4k-5k,"['薪资：4000/月', '工作内容：', '1、根据团队需要和用户数据，尝试构建一些使用场景的用户行为模型。', '2、配合用户增长团队的业务需求，对已有模型进行数据验证和优化。', '3、用户增长团队的其他数据相关需求。', '任职要求：', ' 1、数学或计算机及相关专业背景，硕士以上学历，具有扎实的', '理论基础；', ' 2、熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验；', ' 3、熟悉Linux环境编程，精通Java/Python，熟悉Hadoop/Spark/Storm/Hive等至少一种分布式计算技术；', ' 4、具备较强的数据分析能力，能够基于复杂的业务场景快速建模和设计算法。', '5、', '。', 'PS：从不让实习生订外卖，因为食堂免费三餐；', '\xa0 \xa0 \xa0 \xa0偶尔让实习生拿快递，因为经常购买零食；', '\xa0 \xa0 \xa0 \xa0实习生也要加班，核心团队时间紧任务重。']",应届毕业生
北京,链家网（北京）科技有限公司,55446,昨天 10:31,4621671,数据挖掘工程师,30k-50k,"['工作职责:', '1、熟练掌握各种主流机器学习算法的基础上，分析用户端、经纪人端、开发商端业务需求，寻找并构建有效的解决方案；', '2、从二手客源、业主、租赁客源中挖掘新房高潜用户，完成客源、经纪人、房源的三方匹配，提高经纪人作业效率，提升平台成交转化；', '3、链家网新房搜索、推荐架构设计与优化，开发更高效和新颖的智能搜索和推荐方式，提高用户找房效率；', '4、推动链家网新房的数据建设，构建用户画像、楼盘画像、经纪人画像，集合平台资源更深入地刻画平台角色；', '5、抽象产品和运营的业务逻辑，并能从数据中发现机制和算法的不足，提出改进方案并推动实现；', '6、追踪业内前沿技术，结合链家新房平台业务特点，探索将前沿的算法技术应用于实际业务。 ', '任职资格:', '1、计算机或相关专业本科及以上学历，工作三年以上；', '2、精通Python，C/C++，java其中一种以上，算法和数据结构基础扎实；', '3、熟悉机器学习、大数据相关技术，有深度学习、推荐算法、搜索引擎相关经验优先；', '4、有互联网、O2O等领域数据挖掘、分析建模相关经验优先；', '5、责任心强、敢于承担，团队合作、沟通能力佳；', '6、对于把数据智能能够应用到实际业务场景产生商业价值具有强烈的热情']",3-5年
北京,北京数美时代科技有限公司,82991,2018-06-11,4414864,数据挖掘,20k-40k,"['1、针对海量用户行为数据，构建用户兴趣属性，金融属性画像，欺诈属性等多维度画像\xa0', '2、基于海量画像数据，构建金融风控，互联网反作弊，精准营销，垃圾内容等模型和服务 \xa0', '1、熟悉使用Hadoop，Storm，Spark，HBase等大数据技术平台，有大规模数据日志处理经验者 优先；\xa0', '2、熟悉大规模数据挖掘、机器学习、自然语言处理，图像处理等相关技术和算法；\xa0', '3、具备金融风控，互联网反作弊，图像和文本处理，精准营销，推荐系统等相关产品工作经验 者优先；\xa0', '4、具备较强的数据分析，问题分析，逻辑思维能力，良好的沟通，团队协作能力。\xa0', '有竞争力的薪酬', '期权奖励', '五险一金+商业保险', '午餐+晚餐补助', '交通+通讯+电脑补贴', '结婚+生育+丧葬+住院礼金', '伯乐奖金', '年假8天起+带薪病假', '年度体检、零食畅享、团队建设、生日会、弹性办公', '\xa0', '数美（全称北京数美时代科技有限公司）成立于2015年6月，是一家专业的大数据科技公司。数美依托先进的核心AI技术和海量的数据基础，致力于解决多场景欺诈问题，为客户提供专业、可信赖的服务。团队均来自百度、阿里、腾讯、360、小米等顶尖互联网公司，在大数据、人工智能、机器学习、金融风控等领域有着丰富的实践经验。目前，业务已覆盖金融、支付、直播、社交、电商、O2O等为代表的多个行业领域，其中包括中信银行、用钱宝、人人贷、51信用卡、360、小米、58同城、爱奇艺、熊猫直播、花椒、唱吧等知名企业，截止到2017年6月，服务客户突破1000家。作为大数据反欺诈专业品牌，数美将持续挖掘数据价值，为金融机构、互联网企业提供智能、创新的一站式反欺诈综合解决方案', '…………………………………………………………………………', '了解更多', '数美公司介绍', ' ', '数美团队介绍', ' ', '数美产品介绍', ' ', '数美解决方案介绍', ' ']",1-3年
北京,北京京东世纪贸易有限公司,139755,今天 13:45,2910804,算法&amp;数据挖掘 科学家,25k-50k,"['京东商城收益管理团队诚招量化分析领域的专家，包括统计、机器学习和运筹优化方向。我们希望您以坚实的技术能力和热忱和我们一起解决京东业务上的挑战。', '我们团队通过基于大数据的数据分析，利用AI、运筹优化等方法来解决收益管理、用户行为分析、客户服务水平、市场渗透等电商领域内的业务问题，解决的问题包括动态定价，营销效果评估、预测及促销决策;\xa0用户行为分析/选择模型，产品生命周期与管理、商品选品等。', '\xa0', '工作职责：', '1.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 参与JD新一代动态定价模型搭建和具体问题解决方案的设计工作，和业务团队及产品经理一道，了解业务背景及需求。', '2.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 运用机器学习相关技术，对海量数据进行处理和分析，挖掘相关信息，建立模型，分析关键因素，优化定价和促销相关产品。', '3.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 基于大数据平台，通过\xa0数据分析和数据挖掘，给出直观的结论及业务洞见', '4.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0跟进数据挖掘，机器学习相关技术的业界发展，并合理的运用到实际产品中，开发机器学习模型及算法来预测特定指标，如用户行为模型、用户倾向等。\xa0', '5.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 开发优化模型和系统，给出最优决策。', '\xa0', '职位要求：', '1.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 在统计/数学/计算机/机器学习/运筹优化相关领域拥有硕士或博士学位。在分析、预测、优化方向有实际应用经历。\xa0\xa0对数据敏感，喜欢并善于从数据中发现规律。', '2.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 熟悉大数据平台，在机器学习模型和算法方向有应用经验，熟悉机器学习在工业中的最佳实践。', '3.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 熟悉常用算法编程语言，了解开源机器学习框架及进展。', '4.\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 熟悉在大数据平台上处理大规模实时数据及应用机器学习模型经验者优先。', '5.\xa0\xa0\xa0\xa0熟悉大规模在线学习优先。']",1-3年
北京,北京爱比数据科技有限公司,134421,2018-05-31,4594185,数据挖掘工程师,18k-30k,"['任职要求', '1、熟悉数据仓库建模理论，2年以上相关领域实践经验；', '2、熟悉Hadoop、Hive、Spark、Kafka、Flume等大数据技术；', '3、熟练使用Python/Java或其他语言进行复杂业务逻辑的数据处理工作，具备海量数据处理以及性能优化的能力；', '4、对MySQL、Redis、Elasticsearch，Mongo等有一定的了解和使用经验；', '5、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力；', '6、熟悉推荐系统、机器学习者优先；', '工作职责：', '1、负责数据采集，加工，清洗，转换规则的建立', '2、负责业务数据的准备和分析；', '3、负责数据库仓库的搭建和管理；']",1-3年
北京,北京奇艺世纪科技有限公司,1686,昨天 17:08,2116208,数据挖掘,20k-35k,"['工作内容：', '1. query理解，query的自动标注、分类；', '2. 海量视频内容挖掘，发现优质内容；', '3. 相关搜索词挖掘，搜索词推荐；', '职位要求：', '1. 计算机相关专业本科以上学历；\xa0', '2. 扎实的编码能力，具备良好的分析问题、解决问题的能力；', '3. 有自然语音处理、机器学习相关背景优先；']",不限
北京,北京闪银奇异科技有限公司,29496,昨天 10:30,4318059,数据挖掘工程师,20k-35k,"['岗位内容:', '1、用户行为数据挖掘与特征研究，基于业务场景及海量行为数据发现客户行为规律，识别业务风险问题；', '2、对于互联网海量业务数据的进行大规模特征提取和分析挖掘；', '3、提供高可靠的特征工程，保证高可靠的线下模型训练和线上模型打分。', '4、基于客户风险和海量行为数据，设计并开发实现风控打分卡。', '岗位要求：', '1、2年以上python数据开发/挖掘/机器学习经验优先，计算机、软件工程，统计等相关专业', '2、熟悉常用机器学习、深度学习等数据挖掘技术，了解不同模型的特性，理解相关数据挖掘算法，并能熟练使用主流的开源数据挖掘工具。对各种经典有监督学习模型、时序数据分析和异常点检测算法等有较为深入的理解。', '3、熟悉MySQL、HBase等数据库，有处理海量数据经验者优先', '4、有优秀的动手编程能力，熟练使用下列分析开发语言:Python/Mongodb/SQL/Flask;', '5、参加过实际的数据挖掘项目或比赛，了解实际建模的一般原则和方法。参加过数据挖掘比赛，并获得较高排名者优先。', '6、沟通、推动和学习能力强，具有较强的分析问题和解决问题的能力；', '7、思路清晰，主动性强，有很强的自我驱动能力。']",1-3年
成都,成都数联铭品科技有限公司,42711,2018-06-11,3747258,产品经理(数据挖掘）,20k-40k,"['工作职责：', '1、负责梳理业务产品中的数据和模型需求', '2、负责与上游数据团队对接，保证数据输出质量', '3、负责与下游数据团队、开发团队及客户沟通数据流程', '4、负责本产品相关的数据分析、指标设计、模型构建', '任职资格：', '1、统招本科及以上学历，理工科专业，有复杂网络科研经验者优先', '2、至少3年以上数据分析和挖掘经验，有金融领域模型经验者优先', '3、至少掌握一种BI系统，一种数据库，一种编程语言，有图库经验者优先', '4、沟通能力和逻辑思维能力俱佳、持续的快速学习者""']",3-5年
北京,北京品友互动信息技术股份公司,194937,2018-05-29,4400072,资深数据挖掘工程师,20k-40k,"['工作职责：', '1、负责对互联网和移动互联网环境下的复杂问题进行数据建模并用数学方法解决；', '2、负责或参与互联网网页抓取/搜索/广告相关的算法研发工作；', '3、与架构工程师一起优化算法效果和性能；', '4、使用数据挖掘（分类/classification, 聚类/clustering, 协同过滤/collaborative filtering）的算法。', '任职资格：', '1、计算机或相关专业，硕士及以上学历；', '2、2年及以上的开发工作经验；', '3、熟悉常用数据结构，有丰富的项目架构经验；', '4、具有优秀的分析和解决实际问题的能力；', '5、对算法具有浓厚的兴趣和热情。']",1-3年
