,House_door_model,architecture_acreage,within_acreage,Building_head,decorate_situation,heating_method,period_int,floor,Family_structure,building_types,building_age,building_structure,Ladder_household_proportion,Equipped_elevator,house_id,listing_time,house_age,Trading_ownership,usage_house,houseing_belog,house_site,bargain_time,bargain_price,unit_price,listing_price,bargain_day_num,adjust_price,take_look,attention,view_count
0,2室1厅1厨1卫        ,63㎡          ,暂无数据         ,东南   ,简装     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,2003 ,钢混结构  ,一梯六户           ,无           ,108400068910          ,2018-09-18         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,天鹅花苑 2室1厅 63平米,2018.10.26 成交,195,30953,210,39,0,0,0,暂无数据
1,3室2厅1厨2卫        ,100.34㎡          ,89㎡         ,南   ,简装     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,1992 ,钢混结构  ,一梯两户           ,暂无数据           ,108400073672          ,2018-09-23         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,大沙头路11号大院 3室2厅 100.34平米,2018.10.27 成交,360,35879,400,34,0,0,0,143
2,2室1厅1厨1卫        ,39㎡          ,暂无数据         ,北   ,精装     ,        ,70年           ,高楼层(共23层)          ,平层              ,塔楼       ,2004 ,钢混结构  ,两梯十七户           ,有           ,108200024133          ,2017-06-12         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,东方都会广场 2室1厅 39平米,2018.10.28 成交,250,64103,265,504,1,0,47,1908
3,3室2厅1厨1卫        ,83㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯三户           ,无           ,108400078094          ,2018-09-29         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,万丰路 3室2厅 83平米,2018.10.27 成交,163,19639,168,28,0,0,0,暂无数据
4,3室2厅1厨2卫        ,124.5㎡          ,103.4㎡         ,南   ,简装     ,        ,70年           ,低楼层(共16层)          ,暂无数据              ,塔楼       ,2002 ,钢混结构  ,一梯八户           ,有           ,108400065713          ,2018-09-14         ,满五年       ,商品房          ,普通住宅          ,共有           ,东方花园又一居 3室2厅 124.5平米,2018.10.27 成交,365,29318,375,43,1,0,6,879
5,2室2厅1厨1卫        ,76.61㎡          ,64.88㎡         ,西南   ,简装     ,        ,70年           ,中楼层(共25层)          ,平层              ,塔楼       ,1999 ,钢混结构  ,两梯八户           ,有           ,108200004499          ,2018-03-18         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,荔港南湾 2室2厅 76.61平米,2018.10.27 成交,260,33939,266,223,1,0,73,2005
6,3室2厅1厨1卫        ,80.16㎡          ,68.54㎡         ,南   ,简装     ,        ,70年           ,高楼层(共9层)          ,暂无数据              ,塔楼       ,2004 ,钢混结构  ,一梯七户           ,有           ,108400010027          ,2018-07-12         ,满五年       ,商品房          ,普通住宅          ,共有           ,新燕花园 3室2厅 80.16平米,2018.10.27 成交,350.5,43726,380,107,1,0,11,1590
7,2室1厅1厨1卫        ,53.94㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,低楼层(共6层)          ,暂无数据              ,板楼       ,1990 ,钢混结构  ,一梯两户           ,无           ,108400045541          ,2018-08-21         ,满五年       ,商品房          ,普通住宅          ,非共有           ,东风东路水均大街 2室1厅 53.94平米,2018.10.27 成交,246.5,45699,255,68,1,0,36,1374
8,2室1厅1厨1卫        ,68㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,1998 ,钢混结构  ,一梯三户           ,无           ,108400111258          ,2018-10-25         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金宇花园 2室1厅 68平米,2018.10.27 成交,179,26324,185,2,0,0,0,暂无数据
9,1室1厅1厨1卫        ,33.67㎡          ,暂无数据         ,南   ,其他     ,        ,70年           ,高楼层(共7层)          ,暂无数据              ,塔楼       ,1993 ,钢混结构  ,一梯六户           ,无           ,108400109445          ,2018-10-24         ,满五年       ,商品房          ,普通住宅          ,非共有           ,西兴苑 1室1厅 33.67平米,2018.10.27 成交,65,19306,68,4,0,0,8,99
10,1室1厅1厨1卫        ,46㎡          ,暂无数据         ,东   ,其他     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯六户           ,无           ,108400102844          ,2018-10-19         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,东鹏花园三期 1室1厅 46平米,2018.10.28 成交,113,24566,115,9,0,0,0,暂无数据
11,2室2厅1厨1卫        ,89㎡          ,70.48㎡         ,西   ,其他     ,        ,70年           ,高楼层(共16层)          ,暂无数据              ,塔楼       ,2012 ,钢混结构  ,两梯四户           ,有           ,108400068669          ,2018-09-18         ,满五年       ,商品房          ,普通住宅          ,非共有           ,宝翠园 2室2厅 89平米,2018.10.27 成交,378,42472,390,39,1,0,0,190
12,2室2厅1厨1卫        ,83.52㎡          ,暂无数据         ,西   ,其他     ,        ,70年           ,中楼层(共31层)          ,平层              ,塔楼       ,2008 ,钢混结构  ,三梯九户           ,有           ,108200000593          ,2018-01-21         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,金东环大厦 2室2厅 83.52平米,2018.10.27 成交,576.5,69026,588,280,1,0,11,2098
13,2室1厅1厨1卫        ,52.86㎡          ,46.95㎡         ,南 西北 北   ,其他     ,        ,70年           ,低楼层(共9层)          ,平层              ,塔楼       ,2000 ,钢混结构  ,一梯五户           ,无           ,108400027149          ,2018-08-01         ,满五年       ,商品房          ,普通住宅          ,共有           ,百荣园 2室1厅 52.86平米,2018.10.27 成交,165,31215,175,88,1,0,50,2055
14,2室2厅1厨1卫        ,69.2㎡          ,54.78㎡         ,北   ,简装     ,        ,70年           ,中楼层(共11层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯四户           ,有           ,108400088814          ,2018-10-13         ,暂无数据       ,商品房          ,普通住宅          ,共有           ,盛恒家园 2室2厅 69.2平米,2018.10.28 成交,174,25145,180,15,0,0,7,206
15,3室2厅1厨2卫        ,92㎡          ,暂无数据         ,西南   ,简装     ,        ,70年           ,中楼层(共19层)          ,平层              ,塔楼       ,2005 ,钢混结构  ,一梯六户           ,有           ,108200023314          ,2018-04-27         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,番禺海伦堡花样年华一期 3室2厅 92平米,2018.10.28 成交,268,29131,270,184,1,0,30,1754
16,3室1厅1厨1卫        ,85.94㎡          ,暂无数据         ,东   ,其他     ,        ,70年           ,中楼层(共9层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯两户           ,无           ,108400035575          ,2018-08-10         ,暂无数据       ,商品房          ,商住两用          ,非共有           ,水荫路 3室1厅 85.94平米,2018.10.28 成交,370,43054,390,79,1,0,3,1449
17,2室1厅1厨1卫        ,56㎡          ,暂无数据         ,东 西   ,简装     ,        ,70年           ,高楼层(共18层)          ,平层              ,塔楼       ,2006 ,钢混结构  ,两梯八户           ,有           ,108200022402          ,2017-12-31         ,暂无数据       ,商品房          ,普通住宅          ,共有           ,泓景花园 2室1厅 56平米,2018.10.28 成交,330,58929,340,301,1,0,135,2950
18,2室1厅1厨1卫        ,76.07㎡          ,58.11㎡         ,南   ,精装     ,        ,70年           ,高楼层(共18层)          ,暂无数据              ,塔楼       ,未知 ,钢混结构  ,一梯四户           ,暂无数据           ,108400066207          ,2018-09-15         ,暂无数据       ,商品房          ,普通住宅          ,非共有           ,亚运城媒体南村 2室1厅 76.07平米,2018.10.28 成交,230,30236,235,44,1,0,9,433
19,1室1厅1厨1卫        ,30㎡          ,暂无数据         ,东南   ,其他     ,        ,70年           ,中楼层(共8层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯二十五户           ,有           ,108400108934          ,2018-10-24         ,暂无数据       ,商品房          ,普通住宅          ,暂无数据           ,利都大厦 1室1厅 30平米,2018.10.28 成交,58,19334,60,5,0,0,0,暂无数据
20,2室1厅1厨1卫        ,51.38㎡          ,45㎡         ,西   ,简装     ,        ,70年           ,中楼层(共10层)          ,暂无数据              ,塔楼       ,1999 ,钢混结构  ,一梯九户           ,无           ,108400043640          ,2018-08-19         ,满五年       ,商品房          ,普通住宅          ,非共有           ,海意名苑 2室1厅 51.38平米,2018.10.28 成交,175,34060,182,70,1,0,95,2309
