,house_室,house_厅,house_厨,house_卫,architecture_acreage_,within_acreage_,Building_head,decorate_situation,period_int,floor_楼,floor_层,Family_structure,building_types,building_age_,building_structure,Ladder_household_proportion,Equipped_elevator,house_age,Trading_ownership,usage_house,houseing_belog,bargain_price,unit_price,listing_price,bargain_day_num_,adjust_price,take_look,attention,view_count_
0,2.0,1.0,1.0,1.0,63.0,63.0,东南,简装,70年,中楼层,9.0,暂无数据,塔楼,2003,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,非共有,195.0,30953,210.0,1082.0,0,0,0,1082.0
1,3.0,2.0,1.0,2.0,100.34,89.0,南,简装,70年,中楼层,9.0,暂无数据,塔楼,1992,钢混结构,一梯两户,暂无数据,暂无数据,商品房,普通住宅,非共有,360.0,35879,400.0,143.0,0,0,0,143.0
2,2.0,1.0,1.0,1.0,39.0,39.0,北,精装,70年,底楼层,1.0,平层,塔楼,2004,钢混结构,两梯十七户,有,暂无数据,商品房,普通住宅,非共有,250.0,64103,265.0,1908.0,1,0,47,1908.0
3,3.0,2.0,1.0,1.0,83.0,83.0,南,其他,70年,高楼层,7.0,暂无数据,塔楼,2000,钢混结构,一梯三户,无,暂无数据,商品房,普通住宅,暂无数据,163.0,19639,168.0,1082.0,0,0,0,1082.0
4,3.0,2.0,1.0,2.0,124.5,103.4,南,简装,70年,底楼层,1.0,暂无数据,塔楼,2002,钢混结构,一梯八户,有,满五年,商品房,普通住宅,共有,365.0,29318,375.0,879.0,1,0,6,879.0
5,2.0,2.0,1.0,1.0,76.61,64.88,西南,简装,70年,底楼层,1.0,平层,塔楼,1999,钢混结构,两梯八户,有,暂无数据,商品房,普通住宅,非共有,260.0,33939,266.0,2005.0,1,0,73,2005.0
6,3.0,2.0,1.0,1.0,80.16,68.54,南,简装,70年,高楼层,9.0,暂无数据,塔楼,2004,钢混结构,一梯七户,有,满五年,商品房,普通住宅,共有,350.5,43726,380.0,1590.0,1,0,11,1590.0
7,2.0,1.0,1.0,1.0,53.94,53.94,南,其他,70年,低楼层,6.0,暂无数据,板楼,1990,钢混结构,一梯两户,无,满五年,商品房,普通住宅,非共有,246.5,45699,255.0,1374.0,1,0,36,1374.0
8,2.0,1.0,1.0,1.0,68.0,68.0,东南,其他,70年,中楼层,9.0,暂无数据,塔楼,1998,钢混结构,一梯三户,无,暂无数据,商品房,普通住宅,暂无数据,179.0,26324,185.0,1082.0,0,0,0,1082.0
9,1.0,1.0,1.0,1.0,33.67,33.67,南,其他,70年,高楼层,7.0,暂无数据,塔楼,1993,钢混结构,一梯六户,无,满五年,商品房,普通住宅,非共有,65.0,19306,68.0,99.0,0,0,8,99.0
10,1.0,1.0,1.0,1.0,46.0,46.0,东,其他,70年,中楼层,9.0,暂无数据,塔楼,1999,钢混结构,一梯六户,无,暂无数据,商品房,普通住宅,暂无数据,113.0,24566,115.0,1082.0,0,0,0,1082.0
11,2.0,2.0,1.0,1.0,89.0,70.48,西,其他,70年,底楼层,1.0,暂无数据,塔楼,2012,钢混结构,两梯四户,有,满五年,商品房,普通住宅,非共有,378.0,42472,390.0,190.0,1,0,0,190.0
12,2.0,2.0,1.0,1.0,83.52,83.52,西,其他,70年,底楼层,1.0,平层,塔楼,2008,钢混结构,三梯九户,有,暂无数据,商品房,普通住宅,暂无数据,576.5,69026,588.0,2098.0,1,0,11,2098.0
13,2.0,1.0,1.0,1.0,52.86,46.95,南 西北 北,其他,70年,低楼层,9.0,平层,塔楼,2000,钢混结构,一梯五户,无,满五年,商品房,普通住宅,共有,165.0,31215,175.0,2055.0,1,0,50,2055.0
